msoa,source,specimenDate,observationDate,fetchDate,rollingSum
E02000001,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,5
E02000001,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,
E02000001,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,3
E02000001,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,5
E02000002,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,4
E02000002,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,4
E02000002,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,3
E02000002,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,6
E02000003,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,10
E02000003,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,8
E02000003,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,7
E02000003,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,9
E02000004,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,7
E02000004,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,8
E02000004,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,10
E02000004,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,12
E02000005,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,3
E02000005,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,4
E02000005,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,4
E02000005,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,6
E02000007,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,5
E02000007,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,5
E02000007,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,4
E02000007,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,4
E02000008,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,8
E02000008,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,9
E02000008,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,13
E02000008,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,14
E02000009,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,5
E02000009,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,5
E02000009,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,7
E02000009,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,8
E02000010,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,4
E02000010,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,4
E02000010,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,4
E02000010,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,5
E02000011,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,4
E02000011,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,3
E02000011,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,4
E02000011,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,7
E02000012,arcgis,2020-10-08,2020-10-12,2020-10-13T13:34:57,7
E02000012,arcgis,2020-10-09,2020-10-13,2020-10-13T18:24:45,9
E02000012,arcgis,2020-10-10,2020-10-14,2020-10-14T16:29:58,6
E02000012,arcgis,2020-10-11,2020-10-15,2020-10-15T16:16:15,5
