date,rollingSum
2020-03-15,552
2020-03-16,711
2020-03-17,892
2020-03-18,1188
2020-03-19,1503
2020-03-20,1948
2020-03-21,2416
2020-03-22,2998
2020-03-23,4084
2020-03-24,5169
2020-03-25,6343
2020-03-26,7736
2020-03-27,9203
2020-03-28,10552
2020-03-29,11768
2020-03-30,13203
2020-03-31,15056
2020-04-01,17028
2020-04-02,18442
2020-04-03,20095
2020-04-04,21207
2020-04-05,21880
2020-04-06,22590
2020-04-07,23367
2020-04-08,23462
2020-04-09,23371
2020-04-10,22970
2020-04-11,22550
2020-04-12,22390
2020-04-13,21289
2020-04-14,20210
2020-04-15,20127
2020-04-16,20294
2020-04-17,20712
2020-04-18,21711
2020-04-19,22153
2020-04-20,22308
2020-04-21,22722
2020-04-22,23499
2020-04-23,23984
2020-04-24,24376
2020-04-25,23775
2020-04-26,23443
2020-04-27,23994
2020-04-28,24203
2020-04-29,24098
2020-04-30,23882
2020-05-01,23738
2020-05-02,23097
2020-05-03,22585
2020-05-04,21235
2020-05-05,20340
2020-05-06,18763
2020-05-07,17546
2020-05-08,16060
2020-05-09,15100
2020-05-10,14523
2020-05-11,14848
2020-05-12,14646
2020-05-13,14208
2020-05-14,13346
2020-05-15,12822
2020-05-16,12853
2020-05-17,12421
2020-05-18,11550
2020-05-19,11275
2020-05-20,10855
2020-05-21,10927
2020-05-22,10610
2020-05-23,10144
2020-05-24,9782
2020-05-25,8953
2020-05-26,7985
2020-05-27,7395
2020-05-28,6780
2020-05-29,6352
2020-05-30,6056
2020-05-31,5917
2020-06-01,5878
2020-06-02,5896
2020-06-03,5513
2020-06-04,5208
2020-06-05,4852
2020-06-06,4634
2020-06-07,4323
2020-06-08,4101
2020-06-09,3894
2020-06-10,3809
2020-06-11,3618
2020-06-12,3642
2020-06-13,3680
2020-06-14,3787
2020-06-15,3747
2020-06-16,3768
2020-06-17,3627
2020-06-18,3706
2020-06-19,3592
2020-06-20,3469
2020-06-21,3315
2020-06-22,3274
2020-06-23,3087
2020-06-24,2925
2020-06-25,2721
2020-06-26,2583
2020-06-27,2440
2020-06-28,2308
2020-06-29,2227
2020-06-30,2087
2020-07-01,2004
2020-07-02,1936
2020-07-03,1860
2020-07-04,1753
2020-07-05,1893
2020-07-06,1933
2020-07-07,1903
2020-07-08,1881
2020-07-09,1986
2020-07-10,1960
2020-07-11,2012
2020-07-12,1916
2020-07-13,1889
2020-07-14,1961
2020-07-15,2061
2020-07-16,2029
2020-07-17,2038
2020-07-18,2034
2020-07-19,2058
2020-07-20,2096
2020-07-21,2108
2020-07-22,2094
2020-07-23,2209
2020-07-24,2317
2020-07-25,2359
2020-07-26,2479
2020-07-27,2479
2020-07-28,2552
2020-07-29,2668
2020-07-30,2774
2020-07-31,2720
2020-08-01,2718
2020-08-02,2761
2020-08-03,2890
2020-08-04,2973
2020-08-05,2965
2020-08-06,3148
2020-08-07,3373
2020-08-08,3494
2020-08-09,3532
2020-08-10,3777
2020-08-11,4041
2020-08-12,4131
2020-08-13,4141
2020-08-14,4187
2020-08-15,4140
2020-08-16,4071
2020-08-17,3759
2020-08-18,3543
2020-08-19,3432
2020-08-20,3546
2020-08-21,3483
2020-08-22,3477
2020-08-23,3615
2020-08-24,3569
2020-08-25,3634
2020-08-26,3684
2020-08-27,3783
2020-08-28,4091
2020-08-29,4403
2020-08-30,4640
2020-08-31,4808
2020-09-01,5509
2020-09-02,7096
2020-09-03,8519
2020-09-04,9850
2020-09-05,11139
2020-09-06,12074
2020-09-07,13646
2020-09-08,14727
2020-09-09,15991
2020-09-10,16441
2020-09-11,16606
2020-09-12,16645
2020-09-13,16033
2020-09-14,14838
2020-09-15,14824
2020-09-16,16483
2020-09-17,17228
2020-09-18,18697
2020-09-19,20704
2020-09-20,23531
2020-09-21,24736
2020-09-22,27083
2020-09-23,30306
2020-09-24,32812
2020-09-25,34692
2020-09-26,36346
2020-09-27,37152
2020-09-28,40278
2020-09-29,43785
2020-09-30,50365
2020-10-01,55576
2020-10-02,61366
2020-10-03,65628
2020-10-04,69157
2020-10-05,73161
2020-10-06,78925
2020-10-07,85513
2020-10-08,89550
2020-10-09,90827
2020-10-10,91221
2020-10-11,91108
2020-10-12,91610
2020-10-13,92803
2020-10-14,95103
2020-10-15,95088
2020-10-16,96588
2020-10-17,98749
2020-10-18,101093
2020-10-19,105692
2020-10-20,111847
2020-10-21,117561
2020-10-22,122058
2020-10-23,125559
2020-10-24,126743
2020-10-25,128108
2020-10-26,89555
2020-10-27,127361
2020-10-28,126688
2020-10-29,127101
2020-10-30,128664
2020-10-31,129450
2020-11-01,129540
2020-11-02,0
2020-11-03,135374
2020-11-04,137209
2020-11-05,137802
2020-11-06,139213
2020-11-07,141430
2020-11-08,114079
2020-11-10,3
2020-11-11,152348
2020-11-12,153265
2020-11-13,154128
2020-11-14,152838
2020-11-15,117515
2020-11-16,0
2020-11-17,0
2020-11-18,134376
2020-11-19,128468
2020-11-20,121813
